tweet,location
"David totally refusing to do his remote dance class while his brother, Drew, looks on. @hsanyc #covid19 #zoomclasses #threeyearsold #meltdown w/ @niccilor @ Hamilton Heights, Manhattan https://t.co/vPPAX204rV",New York
Hesitated to post fearing #covid19 related backlash but we have been isolated for over 3 months &amp; we were outside. I’m truly #blessed #grateful to have beautiful #family in my life - #socialdistancing #backyard… https://t.co/P7KqnuwbRw,California
Here we have one of the orange gaiter masks. Get yourself a TVC gaiter mask today! https://t.co/Rt506W588C #edblair #thevarsitysquadcollective #tvc #gaiter #gaitermask #mask #masks #maskon #masks4all #covid19… https://t.co/zhqnPXURZT,Michigan
"In the real world the number of dead Americans from coronavirus is 116,847. Yesterday we lost an additional 1,069. Over at Fox News however there is concern about Biden shutting down… https://t.co/P7XinSQUSo",California
"👿#covid19 #plagues #satan #god #hell #heaven #orgies #pandemic #heavymetal #wearamask #aliens #devil #lucifer #beezlebub @ Westwood, New Jersey https://t.co/GK11OPTFL4",New Jersey
"@KlueBat True. I know they are talking about the pandemic baking thing, but yeah",Illinois
"BERRY FRESH WAFFLES &amp; WHIPPED CREAM. 🍓🧇Just in time for weekend brunch, this fun recipe is now available on youtube ""DAY'S COVID KITCHEN"".  Ring the 🔔 to subscribe! (Link in… https://t.co/Xr7R9ZlVch",Georgia
"This is a 2020 Awesome Teacher Award from the Woburn Community Educational Foundation. Yes, that’s my name on it. I am flattered. It is a Pandemic Miracle. I won’t mention the family or… https://t.co/xNneQNYxmu",Massachusetts
Full house!!! Congrats Nationally Certified  Recovery Coaches Level 2! Are you ready to #levelup and help more people get and stay sober after covid19? We are. Next class is next week . Advanced clinical… https://t.co/32mMawCOCZ,Florida
"The cloth coverings are the toilet paper they hoarded 🤯 #Pandemic2020 #Covid19 @ Lake Elsinore, California https://t.co/eODlluDLlf",California
"Finally launched after the Covid delay, my interview about how to understand our unhappy patients with Catherine Daley, who asked some of the smartest questions I’ve heard.  What is BDD as sen by surgeons? What… https://t.co/57qe7YvP8B",New Hampshire
"When your mask matches your outfit! 
.
.
.
.
#giglife #mask #coronavirus #normal #backtonormal #livemusic #singer #littleblackdress @ Casablanca Cafe https://t.co/AbASNmo4eb",Florida
"Facts i been out e everyday since this shit started and i never caught it
#essentialworkers #essential #corona #covid19 #coronavirus @ New York, New York https://t.co/C7SoK44heh",New York
"Uh oh, look what’s now open! Very blessed to be back in the gym. Time to get serious about burning off the COVID weight I gained the last 90 days! Cheers! @ Palm Desert, California https://t.co/MH0DRTVNzs",California
"Last night, Dave and I were able to go out on a date. 💗 This Covid world we are now living in really is something. Waits for tables were much longer because they only have so many outside. People were walking… https://t.co/O38BPlYmmQ",Connecticut
"Time for some snacks😋😋
#healthysnacks#blueberries#straberries#yogurt#yogurtparfait#happytummy#instafood#instasnack#supreme#supremebowl#pandemic#workfromhome @ Queens, New York https://t.co/87QeeYArkq",New York
It was a great morning for a 5k!! I was a participant for Ludington’s LakeStride. Because of the pandemic it went to virtual. I ran it alone in Cartier Park. I’m pretty proud of myself.… https://t.co/AGHfw5Ug6f,Michigan
