tweet,location
"#Brooklyn, #NewYorkers come to the Key to Heaven Tabernacle at 1102 Blake Ave 11208 to get your FREE #Covid-19 antibody testing today 6/10!!! Share and RT!! 

#northwelllife #northwellhealth #covid19 #antibodytest… https://t.co/14N4BbrSyz",New York
"Sunrise with my Lil Bro og.maxbrown 
.
.
.
.
.

#sunrise #brothers #brownmen #beach #staysafe #maxwell #blackboyjoy #reopen #happyplace #watersign #coronavirus #humpday #love #wcw #wednesday #stayhome #safety… https://t.co/RSOXvlva5O",Florida
"First summer he hasn’t spent with me...COVID-19 you totally train wrecked summer #latergram #lastsummer #allthegrandsummers #misshim #fashiononashoestring @ Eastaboga, Alabama https://t.co/qOxrn2zMsi",Alabama
"Riding the R train to Manhattan for the first time since Covid, I was so shocked to see how empty the train was. #wow #nyc  #midtown @ Herald Square https://t.co/3FD7xMQPXf",New York
Yikes https://t.co/JZ73B0F0PJ,New York
"The strength of the peasant against unemployment, in the rural area during covid-19 #ColChamberUSA #CACCommerce #USA #Miami #Colombia #Covid19 #desempleo #campo @ Miami (FL) Doral https://t.co/Ahp3lFZdnp",Florida
"The theme of power keeps arising in me. How COVID created powerlessness in the grand and mundane aspects of our lives. How BLM births power in what was formerly a ceding of it. We are all co-creating these shifts,… https://t.co/LJJKFP7Jig",District of Columbia
"Snapshot of COVID-19 behind bars in WV state jails and prisons.

Source: Bob Aaron/WCHS-TV @ Freeman Law Offices https://t.co/BHQ0MiHNg5",West Virginia
From the old world #noir #band #rocknroll #rock #soul @gibsonguitar #firebird #rollingstones #jamesbrown #multicultural #lights #stage#music #band #covid19 #jamiemharrison 505andrewcooper summer_lovingsun @cattie257… https://t.co/3ccfxBg9UF,New Mexico
"***CLICK ON THE LINK IN THE BIO TO REGISTER***
.
As the American city hit hardest by COVID-19 was ordered to shelter in place, artist Scooter LaForge began to transform the walls of his small NYC East Village… https://t.co/Umzw4aIOBV",North Carolina
