,tweet,tweet,location,Unnamed: 0.1,Confirmed
53,sure missing baseball thank firelands athletic booster seniors2020 baseball corona nothowthiswassupposedtogo firelands high school,"We sure are missing baseball, thank you to Firelands Athletic Boosters .... #seniors2020 #baseball #corona #nothowthiswassupposedtogo @ Firelands High School https://t.co/wWomXhV7IP",Ohio,39.0,6604.0
54,livestreammusic frankb attempting show corona rock folk,"#LiveStreamMusic FrankB attempting a show, corona https://t.co/TxsLh9zctE #Rock #Folk",Tennessee,47.0,5508.0
55,corona djtsalt djtsaltt tiktokdance memphis tennessee,"#corona #djtsalt #djtsaltt #tiktokdance @ Memphis, Tennessee https://t.co/IVCR41rhTA",Tennessee,47.0,5508.0
56,talking hand good know trust real wilson corona castaway tomhanks solo trust conversation atlanta georgia,"Talking to the hand because it is always good to be around someone you know you can trust for real. #wilson #corona #castaway #tomhanks #solo #trust #conversation @ Atlanta, Georgia https://t.co/ArpyI1xqN6",Georgia,12.0,12452.0
57,mask llalladesigns sewing corona handcrafted embroidery pfaff projectbags pompoms domore2020 graceandkindness mask stayhome lla lla design,So many masks... #llalladesigns #sewing #corona #handcrafted #embroidery #pfaff #projectbags #pompoms #domore2020 #graceandkindness #masks #stayhome @ Lla Lla Designs https://t.co/K0P4toRdMN,Indiana,18.0,7928.0
58,coronaressurection stayhome homesweethome lockdown staycation corona covid holy land,"CoronaRessurection
#stayhome #homesweethome #lockdown #staycation #corona #covid @ The Holy Land https://t.co/XQrSjieGNu",Texas,48.0,13677.0
59,april2020 stayhome corona covid19 texana plantation richmond,"#april2020 #stayhome #corona #covid19 @ Texana Plantation, Richmond https://t.co/ptekQz5oNQ",Texas,48.0,13677.0
60,tweet,,,,
61,covid nineteen corona virus style everett washington,,,,
62,corona virus got like bandana misterbandana wildwildwest maskedman coronatimes coronavirusgotmelike crazytown safe gulf shore alabama,,,,
63,sign postbrand ad lajolla california corona la jolla,,,,
64,corona got world like atreyu fighting nothing san diego california,,,,
65,corona ca sun apr 12th forecast today chance shower hi sixty-two tonight chance shower lo fifty,,,,
66,resurrection life john eleven twenty-five corona california,,,,
67,easter flower brighten house happy easter flower flower daffodil tulip easter home corona california,,,,
68,rocky stair corona del mar state beach,,,,
69,happy easter familia friend thank god blessed day have happyeaster2020 familiaarmas armasfamily chiltonohana corona california,,,,
70,visit easter bunny today corona california,,,,
71,content iparkmusic oobang love family fun hope love smile corona coronavirus ipark music co,,,,
72,grandma aunt stuffed celery pimento cheese jar added spring radish kosher salt side corona california,,,,
73,corona ca sun apr 12th pm forecast tonight chance shower lo forty-eight monday chance shower hi sixty-four,,,,
74,glazed easter ham baby carrot roasted asparagus parmesan corona california,,,,
75,posted photo corona california,,,,
76,lem me yours corona easter2020 outfit los angeles california,,,,
77,potato latke topped homemade applesauce latkas potato applesauce homecooking easterdinner easter food corona california,,,,
78,friday night rona corona flagstaff orpheumtheatre arizona blackandwhite photography amateurphotography friday stayhome stayhealthy staysafe flagstaff arizona,,,,
79,little easter fun morning boy easter easteregghunt confetti corona tucson arizona,,,,
80,tucson corona holidazapocalypse proper roble pas,,,,
81,philly man wearing face mask dragged philadelphia bus handled it bbbb corona stayhome quarantine quarantineandchill philadelphia pennsylvania,,,,
82,nation groove stayinghome funk alonetogether onenation corona pennsylvania,,,,
83,nation groove stayinghome funk alonetogether da corona covid nineteen pennsylvania,,,,
84,4yr old fetched beer it ' good day 'll remember forever happy easter easter2020 victoriasway corona quarantine badstreet philadelphia pa,,,,
85,incident 7line 103rd street corona plaza station 42nd street time square station,,,,
86,incident 7line 103rd street corona plaza station 42nd street time square station,,,,
87,incident 7line 103rd street corona plaza station 42nd street time square station,,,,
