tweet,location
"Lovers are only far in the mind.                #California #love #3k #miles #heal #me #rva #ca #norcal #corona #covıd19 #socialdistance #no #fly #zone #kiss #missyou #alarva @ Petersburg, Virginia https://t.co/zjiBPZmIvj",Virginia
Just posted a photo @ Flushing Meadows - Corona Park https://t.co/qOu1SAPVfb,New York
"FUCK #Corona 🖕🏾🖕🏾🖕🏾
.
.
#Everybody #StaySafe #StayHealthy @ In the Front of My House https://t.co/FuwTexcOHl",Ohio
"Let's bring Christmas Back... Before all of the Corona Virus (Covid-19) stuff got so out of hand ✋

#jRag #jRagMusic #InTheMirror #InThisLife #LifeStyle #Life #Style #Fashion #People #PeopleMag #GQ #Philly… https://t.co/Mzoho8gzrn",New York
"Corona Blues... 🔹🔵🔹
📸: @rckphotography 
#imactuallyhappy #currentlysmiling #blue #coronablues #imissoutside #butimgood #stayingbusy #humpday #humpdayvibes #sunshine #jesusbroughtthesunshine #ihavefaith #wellmakeit… https://t.co/WyX2TnXjgr",Tennessee
CNN just said the women that let niggas fuck on the first date are immune to the corona virus,Washington
Out here enjoying the 🌞. Thx benchmarkmotoring! #mask #masks #covidmask #covid19mask #corona #coronavirus #coronamask #pandemic #stayhome @ Benchmark Motoring https://t.co/I5wKchLIq3,Washington
"Your Daily Squirrel #dailysquirrel #squirrel #model #positivevibes #positivity #corona #covid #quarantine #quarantinelife #animalstakeover @ Culver City, California https://t.co/zAC6vQrMkX",California
Ok fuck it...if they find a cure for Corona I’m leaking this 😈😁....ahhh @vectorthaviper probably hang me 😁🤷🏾‍♂️ #SuperWarm #PornStarVibes 📹 = @wacpeople talktoace @ Grown Vibez https://t.co/vCh3wkYm9b,
"Reposted from @starboxing We now break for a PSA from undefeated cruiserweight, Hartford’s own, Richie “Popeye The Sailor Man” Rivera! 💪popeye.boxer  - #hbc #stayathome #stayhomestaysafe #corona #virus #hbpromotions… https://t.co/3FTYuTD79W",Connecticut
"Missing my baby. @ Corona, California https://t.co/5doEMFB9cU",California
"Emoji puzzle! This should keep me busy... 🤪🤣🤓🧩 #puzzle #emojipuzzle #quarantine #corona @ Rockport, Texas https://t.co/F2uJgugPOF",Texas
"So thank you chef @leoforneascooks for pizza dough #project . Had to get #corona proof to pick up #pizza  🍕#dough  , in the lobby ... #socialdistancing ✔️ check  .This is best part of your  #birthday gift time spent… https://t.co/L1FCGn8hQm",Pennsylvania
"Oh hey Miss Corona Bernice Jackson.....👋👋👋👋👋👋👋👋👋👋 #openoutsideagain🙏🏾 @ Columbus, Georgia Convention &amp; Trade Center https://t.co/LqL9GaR154",Georgia
"Ordered a ""Corona Care Package"" for $100 from @WhittinghamMeat 
Delivered for free next day!  You should check it out, they have several options.  

#suesviews #thingsisee #chicago #spring #april #coronavirus… https://t.co/yFQPTDzlfk",Illinois
"On today's episode... @ Corona, California https://t.co/8SdnqFz76a",California
"Check your bank account: Millions to receive coronavirus stimulus cash today.
.
.
.
#blossom #blossoms #spring #flowers #flower #cherryblossom #spring2020 #coronavirus #corona #virus #isolation #COVID19… https://t.co/NI1Xt8NLBJ",New York
GET ACTIVE. You should be doing some kind of physical activity everyday. Some of y’all are going to wind up fat AF after Corona because all you have been doing is sitting in the house. Get outside! It’s SPRING! @… https://t.co/OQkQdeygCI,Virginia
We’re gonna make it!  You’re not stuck - you’re safe! #covıd19 #corona #churchstreeteast #downtownmobile #mobilealabama #downtownmobileal #ukulele #ukulelecover #ukulelecovers #banjolele #banjolelecover… https://t.co/ffcCfzBkar,Alabama
Corona NY Wed Apr 15th PM Forecast: TONIGHT Partly Cloudy Lo 31 SATURDAY Sunny Hi 41,New York
"For the men that shimmy a lil and even the ones who shimmy a lot. @f1rstcreations
https://t.co/sE2rg60ONU 
#kappaalphapsi #kappa #bruhs #corona #coronavirus #men #blackmen #nphc #mensfashion @ Los Angeles, California https://t.co/WggyqVMnc8",California
Rosie is loving life during this crazy pandemic! #rosiemcdade #rosie #labradoodle #outofthecity #corona @ Lyndhurst Mansion https://t.co/7Z5vH1nfnF,New York
"When life was good and work was great and you could hug people🏹🖤
Here’s a TB
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

.

.

#model #la #nyfw #aesthetic #moodboard #prettylittlething #corona #funny #meme #fashion #fff… https://t.co/fRhnQCoEuj",California
"Corona Rant Number 3,478: don’t leave your f*cking latex glove in my driveway... #coronarant @ Austin, Texas https://t.co/Bb1kHfCgzf",Texas
"Bare bones = new beginnings. That Corona virus can’t keep us from dreaming, creating and building. Everyone is dealing with this situation in different ways and it's all ok! We don't know what people are going… https://t.co/ZhVE7JoI1d",California
"Here are 10 pictures of the hotel @RONSONORIGINALS is going to have 3 of his models, who have positions and titles for @RONSONORIGINALS for his next photoshoot as soon as the Corona lockdown is over. My wife and… https://t.co/TU0C88601k",Ohio
THE FEDERAL RESTAURANT &amp; BAR Due to Massachusetts Corona Virus Mandate will close temporarily! Consider purchasing gift cards https://t.co/DQBp3oLgMX to help them sustain this time! Plan Events here… https://t.co/u0MMcRN5A5,Massachusetts
"EVERYBODY is affected in their own way! #corona #quarantine #poorrichpeople #suffering #survival @ Los Angeles, California https://t.co/TXghqZEBKA",California
This is one of our private guitar lessons!!🤪🤪 And let me just say it sounds amazing!!!🤩🤩🤯 #guitar #private #lesson #amazing #stayhome #stayhealthy #staysafe #corona #virus #covid19 #explorepage #explore #exploremore… https://t.co/Z6nSK0tIOT,New Jersey
Couchella?  Stagecouch?  We got you.  #sugarcookies #coachella #stagecoach #nochella #corona #tiffanyssweetspot #laquinta #coachellafestival @ Tiffany's Sweet Spot https://t.co/M7j9nWOJvH,California
"""Future in the Air"" 😷 - This Nike billboard seemed a little too.. relative to our situation.. #TequilaShots #Corona #Venice @ Venice, California https://t.co/iltZ0AAWCW",California
"🤪😜🤪😜🤪
—Corona 2020– @ Queen Creek, Arizona https://t.co/LZ2TJUNoUM",Arizona
"On that dinner shit with wife 😂😂😂😂
#megantheestallion #meatballs #dinner #familytime #corona #quarantine #quarantinelife #wifey #wife #explorepage #explore #gphatz @ Houston, Texas https://t.co/uDr1dpvwtq",Texas
Power thought of the day:  I am unlimited in my ability to be creative. #powerthoughtoftheday #unlimited #ability #creative #stayhome #stayhealthy #staysafe #corona #virus #covid #covid19 #explorepage #explore… https://t.co/1WBaqp5Ga2,New Jersey
"I guess this is what our lives has been reduced to...Food and Corona jokes 😷🤣
#wheredidourworldgo #newreality #morefoodiethanusual @ Milwaukee, Wisconsin https://t.co/3Ci7AwJJxT",Wisconsin
"What a great buddy to shelter in place with!
🐈❤️🐾
#covid-19sucks
#thistooshallpass
#catsrock #ohspets #shelterinplace #stayathome #corona #coronavirus #tabbycat #tabby #tabbycatsofinstagram #tabbycats… https://t.co/5t3TODqFvS",Oregon
"In corona times Anna has taken her art to the sidewalk outside the house! This is one of her characters. Nice work Anna! @ Houston, Texas https://t.co/HBe2SmL1YH",Texas
Orders are in and completed. Getting ready for Cinco! coronausa @modelousa #cincodemayo #corona #Modelo #tecate #dosequis @ Long Beverage Craft https://t.co/h9LBFlQFMt,North Carolina
"Surviving Another corona Evening! Day 89 or something like That.... 🤪😅 #isickofthisshit #iwantoutofhere #iwanttogobacktowork #imsleptout @ Nashville, Tennessee https://t.co/dujVrNgfyG",Tennessee
"This “Corona Era” is driving people to a lot of different edges 😩... But we have to draw the line somewhere. trayfour - please, Sir... You don’t have to do this! We can’t let #therona over take our sensibilities! 😫… https://t.co/LUaJPkNZ8q",District of Columbia
"Misting with and ULV Fogger #Covid19 #Covid #Corona #Coronavirus @ Vail, Colorado https://t.co/gkkFQv6nDU",Colorado
Red sun sinks corona infection detection #likes #like #follow #likeforlikes #love #l #instagood #instagram #followme #likeforlike #likeforfollow #followforfollowback #f #followers #instalike #photooftheday… https://t.co/tKYbmiXPKd,Florida
Red sun sinks corona infection detection #likes #like #follow #likeforlikes #love #l #instagood #instagram #followme #likeforlike #likeforfollow #followforfollowback #f #followers #instalike #photooftheday… https://t.co/x0vIpX3huD,Florida
Single Red sun sinks corona infection detection #likes #like #follow #likeforlikes #love #l #instagood #instagram #followme #likeforlike #likeforfollow #followforfollowback #f #followers #instalike #photooftheday… https://t.co/oMP9ub8WyP,Florida
Corona CA Wed Apr 15th PM Forecast: TONIGHT Mostly Clear Lo 50 THURSDAY Mostly Sunny Hi 73,California
Lagunita Court center hilltop bench estate garden #grave just became available. Go to https://t.co/YIlXWxNP2Y  There’s nothing else like it. #Hope #Love #Lord #prayers #God #blessed #TrustintheLord #InGodwetrust @ Corona del… https://t.co/itf0I85LrX,California
Lagunita Court center hilltop bench estate garden #grave just became available. Go to https://t.co/YIlXWxwebq  There’s nothing else like it. #TrustintheLord #InGodwetrust #Christians #God #blessed #prayers #covid_19 #corona… https://t.co/KVFtnXSNHK,California
"🇺🇸 US

10 day forecast of 50,825 dead. This wave may last ~140 days and see 9,985,197 cases and 139,793 deaths. Cases double every 8.3 days.

📈: https://t.co/7II8TOvToR

🕓 16/04 #CovidUS

3/4",Kansas
"Nose and mouth coverings become mandatory In NY through an executive order from Gov. Andrew Cuomo mid coronavirus outbreak.
.
.
.
#macys #thisisnewyorkcity #newyorknewyork #coronavirus #corona #virus #isolation… https://t.co/Z4xMbWv0RO",New York
"I'm at Kona Shaved Ice in Corona, CA https://t.co/b5ddLJ8be5",California
"Here’s another oldie but goodie. Pre-corona era... when you are looking for that portrait tattoo artist, I am the one to come and see!!!!! Inbox for appointments. 
Oh and hit that speaker button. That’s just ya boy… https://t.co/TT5ZDmEG3P",Arkansas
